品番,商品名_JA,商品名_KO,用途_JA,メリット_JA,用途_KO,メリット_KO,韓国眼鏡店への販売価格（KRW）,通貨,入数,カタログ参照,画像ファイル名,商品ページURL
141-195C,六角ナットG(1000個入),육각 너트G(1000개),ナット固定・交換,ガタつきを抑えて仕上がりを安定させやすい,너트 고정 및 교체,흔들림을 줄이고 마감을 안정시키기 쉬움,178500,KRW,1000個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-195C
141-196,六角ナットW 1.4×2.25×1.0,육각 너트W 1.4×2.25×1.0,ナット固定・交換,ガタつきを抑えて仕上がりを安定させやすい,너트 고정 및 교체,흔들림을 줄이고 마감을 안정시키기 쉬움,5100,KRW,24ヶ,"カタログP.49,51",141-196_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-196
141-196A,六角ナットW(100個入),육각 너트W(100개),ナット固定・交換,ガタつきを抑えて仕上がりを安定させやすい,너트 고정 및 교체,흔들림을 줄이고 마감을 안정시키기 쉬움,19600,KRW,100個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-196A
141-196B,六角ナットW(300個入),육각 너트W(300개),ナット固定・交換,ガタつきを抑えて仕上がりを安定させやすい,너트 고정 및 교체,흔들림을 줄이고 마감을 안정시키기 쉬움,56100,KRW,300個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-196B
141-196C,六角ナットW(1000個入),육각 너트W(1000개),ナット固定・交換,ガタつきを抑えて仕上がりを安定させやすい,너트 고정 및 교체,흔들림을 줄이고 마감을 안정시키기 쉬움,168300,KRW,1000個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-196C
141-197,ナイロンキャップ 1.4×2.4×3.5,나일론캡 1.4×2.4×3.5,ツーポイント固定・補修,寸法を合わせて外れを補修しやすい,무테 프레임 고정 및 보수,치수를 맞춰 이탈 부위를 보수하기 쉬움,5100,KRW,10ヶ,カタログP.49,141-197_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-197
141-197A,ナイロンキャップ(100個入),나일론캡(100개),ツーポイント固定・補修,寸法を合わせて外れを補修しやすい,무테 프레임 고정 및 보수,치수를 맞춰 이탈 부위를 보수하기 쉬움,48600,KRW,100個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-197A
141-197B,ナイロンキャップ(300個入),나일론캡(300개),ツーポイント固定・補修,寸法を合わせて外れを補修しやすい,무테 프레임 고정 및 보수,치수를 맞춰 이탈 부위를 보수하기 쉬움,136000,KRW,300個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-197B
141-197S,ナイロンキャップ(50個入),나일론캡(50개),ツーポイント固定・補修,寸法を合わせて外れを補修しやすい,무테 프레임 고정 및 보수,치수를 맞춰 이탈 부위를 보수하기 쉬움,25200,KRW,50個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-197S
141-198,ポリカ段付ワッシャ 1.8×3.0×1.6,포함와셔 1.8×3.0×1.6,固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,5100,KRW,,カタログP.51,141-198_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-198
141-198A,ポリカ段付ワッシャ(100個入),포함와셔(100개),固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,25800,KRW,100個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-198A
141-198B,ポリカ段付ワッシャ(300個入),포함와셔(300개),固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,62100,KRW,300個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-198B
141-198C,ポリカ段付ワッシャ(1000個入),포함와셔(1000개),固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,198900,KRW,1000個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-198C
141-300-BE,モダンCP平芯1.85×70 ベージュ,팁CP평면 1.85×70 베이지,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-BE_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-BE
141-300-BK,モダンCP平芯1.85×70 ブラック,팁CP평면 1.85×70 블랙,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-BK
141-300-BP,モダンCP平芯1.85×70 ベージュパール,팁CP평면 1.85×70 베이지,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-BP_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-BP
141-300-BR,モダンCP平芯1.85×70 ブラウン,팁CP평면 1.85×70 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-BR
141-300-CBR,モダンCP平芯1.85×70 クリアブラウン,팁CP평면 1.85×70 클리어 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-CBR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-CBR
141-300-DM,モダンCP平芯1.85×70 デミアンバー,팁CP평면 1.85×70 데미 앰버,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-DM_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-DM
141-300-GP,モダンCP平芯1.85×70 グレープ,팁CP평면 1.85×70 그레이,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-GP_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-GP
141-300-P,モダンCP平芯1.85×70 ピンク,팁CP평면 1.85×70 핑크,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-P_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-P
141-300-PL,モダンCP平芯1.85×70 プラム,팁CP평면 1.85×70,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-PL_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-PL
141-300-WN,モダンCP平芯1.85×70 ワイン,팁CP평면 1.85×70 와인,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-300-WN_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-300-WN
141-301-BE,モダンCP平芯2.1×70 ベージュ,팁CP평면 2.1×70 베이지,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-BE_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-BE
141-301-BK,モダンCP平芯2.1×70 ブラック,팁CP평면 2.1×70 블랙,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-BK
141-301-BP,モダンCP平芯2.1×70 ベージュパール,팁CP평면 2.1×70 베이지,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-BP_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-BP
141-301-BR,モダンCP平芯2.1×70 ブラウン,팁CP평면 2.1×70 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-BR
141-301-CBR,モダンCP平芯2.1×70 クリアブラウン,팁CP평면 2.1×70 클리어 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-CBR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-CBR
141-301-DM,モダンCP平芯2.1×70 デミアンバー,팁CP평면 2.1×70 데미 앰버,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-DM_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-DM
141-301-P,モダンCP平芯2.1×70 ピンク,팁CP평면 2.1×70 핑크,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-P_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-P
141-301-PL,モダンCP平芯2.1×70 プラム,팁CP평면 2.1×70,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-PL_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-PL
141-301-WN,モダンCP平芯2.1×70 ワイン,팁CP평면 2.1×70 와인,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-301-WN_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-301-WN
141-302-BE,モダンCP平芯2.5×70 ベージュ,팁CP평면 2.5×70 베이지,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-BE_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-BE
141-302-BK,モダンCP平芯2.5×70 ブラック,팁CP평면 2.5×70 블랙,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-BK
141-302-BR,モダンCP平芯2.5×70 ブラウン,팁CP평면 2.5×70 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-BR
141-302-CBR,モダンCP平芯2.5×70 クリアブラウン,팁CP평면 2.5×70 클리어 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-CBR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-CBR
141-302-DB,モダンCP平芯2.5×70 ダークブルー,팁CP평면 2.5×70 다크 블루,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-DB_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-DB
141-302-DM,モダンCP平芯2.5×70 デミアンバー,팁CP평면 2.5×70 데미 앰버,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-DM_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-DM
141-302-GL,モダンCP平芯2.5×70 グレー,팁CP평면 2.5×70 그레이,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-GL_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-GL
141-302-YE,モダンCP平芯2.5×70 ランコー,팁CP평면 2.5×70,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-302-YE_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-302-YE
141-304-BK,モダンCP平芯大3.0×70 ブラック,팁CP평면 대3.0×70 블랙,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-304-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-304-BK
141-304-BR,モダンCP平芯大3.0×70 ブラウン,팁CP평면 대3.0×70 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-304-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-304-BR
141-304-CBR,モダンCP平芯大3.0×70 クリアブラウン,팁CP평면 대3.0×70 클리어 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-304-CBR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-304-CBR
141-304-DB,モダンCP平芯大3.0×70 ダークブルー,팁CP평면 대3.0×70 다크 블루,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-304-DB_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-304-DB
141-304-DM,モダンCP平芯大3.0×70 デミアンバー,팁CP평면 대3.0×70 데미 앰버,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-304-DM_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-304-DM
141-304-GL,モダンCP平芯大3.0×70 グレー,팁CP평면 대3.0×70 그레이,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-304-GL_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-304-GL
141-305-B,モダンCP平芯大3.8×70 ブルー,팁CP평면 대3.8×70 블루,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-305-B_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-305-B
141-305-BK,モダンCP平芯大3.8×70 ブラック,팁CP평면 대3.8×70 블랙,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-305-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-305-BK
141-305-BR,モダンCP平芯大3.8×70 ブラウン,팁CP평면 대3.8×70 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-305-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-305-BR
141-305-CBR,モダンCP平芯大3.8×70 クリアブラウン,팁CP평면 대3.8×70 클리어 브라운,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-305-CBR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-305-CBR
141-305-DM,モダンCP平芯大3.8×70 デミアンバー,팁CP평면 대3.8×70 데미 앰버,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-305-DM_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-305-DM
141-305-GL,モダンCP平芯大3.8×70 グレー,팁CP평면 대3.8×70 그레이,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,5100,KRW,,,141-305-GL_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-305-GL
141-308,六角底付ナット(ナイロン) 1.4×2.5×2.0,육각 바닥 너트(나일론) 1.4×2.5×2.0,ナット固定・交換,ガタつきを抑えて仕上がりを安定させやすい,너트 고정 및 교체,흔들림을 줄이고 마감을 안정시키기 쉬움,5100,KRW,22ヶ,カタログP.49,141-308_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-308
141-310,シリコンワンタッチ小 17×8,실리콘원터치소 17×8,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,3組,"カタログP.8,9,20,21",141-310_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-310
141-310A,シリコンワンタッチ 小(100組入),실리콘원터치 소(100 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,126100,KRW,100組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-310A
141-310B,シリコンワンタッチ 小(300組入),실리콘원터치 소(300 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,365300,KRW,300組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-310B
141-310S,シリコンワンタッチ 小(50組入),실리콘원터치 소(50 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,64400,KRW,50組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-310S
141-311,シリコンワンタッチ大 19×9,실리콘원터치대 19×9,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,3組,"カタログP.8,9",141-311_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-311
141-311A,シリコンワンタッチ 大(100組入),실리콘원터치 대(100 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,126100,KRW,100組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-311A
141-311B,シリコンワンタッチ 大(300組入),실리콘원터치 대(300 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,365300,KRW,300組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-311B
141-311S,シリコンワンタッチ 大(50組入),실리콘원터치 대(50 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,64400,KRW,50組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-311S
141-313,箱蝶シリコンG小16×9,박스형 코받침실리콘G소16×9,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,1組,"カタログP.6,7",141-313_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-313
141-314-1,ナイロンレール(極太),나일론 레일(굵은),ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,5100,KRW,,カタログP.59,,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-1
141-314-1A,ナイロンレール(極太)お徳用3m,나일론 레일(굵은)대용량3m,ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,12900,KRW,,カタログP.59,141-314-1A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-1A
141-314-2,ナイロンレール(太),나일론 레일(굵은),ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,5100,KRW,,カタログP.59,,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-2
141-314-2A,ナイロンレール(太)お徳用3m,나일론 레일(굵은)대용량3m,ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,12900,KRW,,カタログP.59,141-314-2A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-2A
141-314-4,ナイロンレール(細),나일론 레일(얇은),ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,5100,KRW,,カタログP.59,,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-4
141-314-4A,ナイロンレール(細)お徳用3m,나일론 레일(얇은)대용량3m,ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,12900,KRW,,カタログP.59,141-314-4A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-4A
141-314-5,ナイロンレール(極細),나일론 레일(얇은),ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,5100,KRW,,カタログP.59,,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-5
141-314-5A,ナイロンレール(極細)お徳用3m,나일론 레일(얇은)대용량3m,ナイロール・溝まわり調整,レンズ保持を安定させやすい,나일론 림·홈 주변 조정,렌즈 고정을 안정시키기 쉬움,12900,KRW,,カタログP.59,141-314-5A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-314-5A
141-316,ナイロン段付ワッシャ1.8×3.0×2.3,나일론 포함와셔1.8×3.0×2.3,固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,5100,KRW,16ヶ,カタログP.51,141-316_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-316
141-316A,ナイロン段付ワッシャ(100個入),나일론 포함와셔(100개),固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,25800,KRW,100個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-316A
141-316B,ナイロン段付ワッシャ(300個入),나일론 포함와셔(300개),固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,62100,KRW,300個,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-316B
141-319,クッションハイロンパット小 14×8,쿠션Hylon코받침소 14×8,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,1組,"カタログP.12,13",141-319_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-319
141-320,クッションハイロンパット大 17×8,쿠션Hylon코받침대 17×8,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,1組,"カタログP.12,13",141-320_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-320
141-321,六角ネジGステンレス1.4×12.0,각형나사G스테인리스1.4×12.0,ネジ交換・固定,ゆるみや紛失時に対応しやすい,나사 교체 및 고정,풀림이나 분실에 대응하기 쉬움,5100,KRW,8本,"カタログP.48,51",141-321_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-321
141-321A,六角ネジGステンレス(100本入),각형나사G스테인리스(100개),ネジ交換・固定,ゆるみや紛失時に対応しやすい,나사 교체 및 고정,풀림이나 분실에 대응하기 쉬움,58300,KRW,100本,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-321A
141-321B,六角ネジGステンレス(300本入),각형나사G스테인리스(300개),ネジ交換・固定,ゆるみや紛失時に対応しやすい,나사 교체 및 고정,풀림이나 분실에 대응하기 쉬움,162400,KRW,300本,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-321B
141-322,六角ネジWステンレス1.4×12.0,각형나사W스테인리스1.4×12.0,ネジ交換・固定,ゆるみや紛失時に対応しやすい,나사 교체 및 고정,풀림이나 분실에 대응하기 쉬움,5100,KRW,8本,"カタログP.48,51",141-322_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-322
141-322A,六角ネジWステンレス(100本入),각형나사W스테인리스(100개),ネジ交換・固定,ゆるみや紛失時に対応しやすい,나사 교체 및 고정,풀림이나 분실에 대응하기 쉬움,58300,KRW,100本,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-322A
141-322B,六角ネジWステンレス(300本入),각형나사W스테인리스(300개),ネジ交換・固定,ゆるみや紛失時に対応しやすい,나사 교체 및 고정,풀림이나 분실에 대응하기 쉬움,162400,KRW,300本,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-322B
141-323,箱蝶極小G 14.5×7,박스형 코받침초소형G 14.5×7,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,5組,"カタログP.10,11,20,21",141-323_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-323
141-323A,箱蝶極小G14.5×7(100組入),박스형 코받침초소형G14.5×7(100 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,97400,KRW,100組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-323A
141-323B,箱蝶極小G14.5×7(300組入),박스형 코받침초소형G14.5×7(300 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,281500,KRW,300組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-323B
141-323S,箱蝶極小G14.5×7(50組入),박스형 코받침초소형G14.5×7(50 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,50200,KRW,50組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-323S
141-324,箱蝶極小W 14.5×7,박스형 코받침초소형W 14.5×7,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,5組,"カタログP.10,11,20,21",141-324_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-324
141-324A,箱蝶極小W14.5×7(100組入),박스형 코받침초소형W14.5×7(100 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,97400,KRW,100組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-324A
141-324B,箱蝶極小W14.5×7(300組入),박스형 코받침초소형W14.5×7(300 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,281500,KRW,300組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-324B
141-324S,箱蝶極小W14.5×7(50組入),박스형 코받침초소형W14.5×7(50 입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,50200,KRW,50組,,,https://www.san-nishimura.co.jp/product/item/?key_word=141-324S
141-325,箱蝶極小U・G 14.5×7,박스형 코받침초소형U G 14.5×7,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,5100,KRW,4組,"カタログP.10,11,20,21",141-325_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=141-325
