"品番","商品名_JA","current_pack_qty","catalog_pack_qty","pack_status","catalog_pages","evidence","notes"
"141-313","箱蝶シリコンG小16×9","1組","ambiguous: 2組 / 1組","ambiguous","カタログP.82,83","PDF抽出メモ:品番直近=2組 [14.5×7 穴径1.2mm 2組 2組 2組 シリコンパット] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]","複数候補あり: 2組 / 1組"
"141-314-1","ナイロンレール(極太)","","ambiguous","ambiguous","カタログP.135","",""
"141-314-1A","ナイロンレール(極太)お徳用3m","","ambiguous","ambiguous","カタログP.135","",""
"141-314-2","ナイロンレール(太)","","ambiguous","ambiguous","カタログP.135","",""
"141-314-2A","ナイロンレール(太)お徳用3m","","ambiguous","ambiguous","カタログP.135","",""
"141-314-4","ナイロンレール(細)","","ambiguous","ambiguous","カタログP.135","",""
"141-314-4A","ナイロンレール(細)お徳用3m","","ambiguous","ambiguous","カタログP.135","",""
"141-314-5","ナイロンレール(極細)","","ambiguous","ambiguous","カタログP.135","",""
"141-314-5A","ナイロンレール(極細)お徳用3m","","ambiguous","ambiguous","カタログP.135","",""
"141-316","ナイロン段付ワッシャ1.8×3.0×2.3","16ヶ","16ヶ","ok","カタログP.127","既存入数抽出メモ:PDF抽出メモ=16ヶ [16ヶ] || pack_quantity_fill_report:PDF抽出メモ=16ヶ [16ヶ]",""
"141-316A","ナイロン段付ワッシャ(100個入)","100個","","no_catalog_evidence","","",""
"141-316B","ナイロン段付ワッシャ(300個入)","300個","","no_catalog_evidence","","",""
"141-319","クッションハイロンパット小 14×8","1組","1組","ok","カタログP.88,89","PDF抽出メモ:品番直近=1組 [1組 No.141-785 箱蝶 ポリアミド 小 14.4×7.5 穴径1.2mm クッションハイロンパット] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]",""
"141-320","クッションハイロンパット大 17×8","1組","1組","ok","カタログP.88,89","PDF抽出メモ:品番直近=1組 [No.141-320 箱蝶 ポリアミド 小 14×8 穴径1.2mm 裏形状 NEW 1組 1組 クッション機構を備えたパット。 一体成形により、快適な装用感を実現 したハイロンパッド。 NEW 箱蝶 ポリアミド 大] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]",""
"141-321","六角ネジGステンレス1.4×12.0","8本","8本","ok","カタログP.124,127","既存入数抽出メモ:PDF抽出メモ=8本 [8本] || pack_quantity_fill_report:PDF抽出メモ=8本 [8本]",""
"141-321A","六角ネジGステンレス(100本入)","100本","","no_catalog_evidence","","",""
"141-321B","六角ネジGステンレス(300本入)","300本","","no_catalog_evidence","","",""
"141-322","六角ネジWステンレス1.4×12.0","8本","8本","ok","カタログP.124,127","既存入数抽出メモ:PDF抽出メモ=8本 [8本] || pack_quantity_fill_report:PDF抽出メモ=8本 [8本]",""
"141-322A","六角ネジWステンレス(100本入)","100本","","no_catalog_evidence","","",""
"141-322B","六角ネジWステンレス(300本入)","300本","","no_catalog_evidence","","",""
"141-323","箱蝶極小G 14.5×7","5組","ambiguous: 4組 / 5組","ambiguous","カタログP.86,87,96,97","PDF抽出メモ:品番直近=4組 [No.141-323 箱蝶 CP 材 極小 W 14.5×7 穴径1.2mm 4組] || 既存入数抽出メモ:PDF抽出メモ=5組 [5組] || pack_quantity_fill_report:PDF抽出メモ=5組 [5組]","複数候補あり: 4組 / 5組"
"141-323A","箱蝶極小G14.5×7(100組入)","100組","","no_catalog_evidence","","",""
"141-323B","箱蝶極小G14.5×7(300組入)","300組","","no_catalog_evidence","","",""
"141-323S","箱蝶極小G14.5×7(50組入)","50組","","no_catalog_evidence","","",""
"141-324","箱蝶極小W 14.5×7","5組","ambiguous: 5組 / 4組","ambiguous","カタログP.86,87,96,97","PDF抽出メモ:品番直近=5組 [No.141-324 箱蝶 CP 材 極小 G 14.5×7 穴径1.2mm 箱蝶 CP 材 極小 W 14.5×7 穴径1.2mm 5組] || PDF抽出メモ:品番直近=4組 [14.5×7 穴径1.2mm 4組 No.141-581 箱蝶 CP 材 小 G 16×8 穴径1.2mm] || 既存入数抽出メモ:PDF抽出メモ=5組 [5組] || pack_quantity_fill_report:PDF抽出メモ=5組 [5組]","複数候補あり: 5組 / 4組"
"141-324A","箱蝶極小W14.5×7(100組入)","100組","","no_catalog_evidence","","",""
"141-324B","箱蝶極小W14.5×7(300組入)","300組","","no_catalog_evidence","","",""
"141-324S","箱蝶極小W14.5×7(50組入)","50組","","no_catalog_evidence","","",""
"141-325","箱蝶極小U・G 14.5×7","4組","ambiguous: 3組 / 4組","ambiguous","カタログP.86,87,96,97","PDF抽出メモ:品番直近=3組 [No.141-325 箱蝶 CP 材 極小 W 10×6 穴径1.2mm 加工備品 消 耗 品 ショップ アイテム S A B C の価格は P1 〜 P5 のサービスパック一覧をご参照下さい。 該当する●●●● パット （長さ×最大巾）単位㎜ 薄型パット （長さ×最大巾×厚み）単位㎜ 3組] || 既存入数抽出メモ:PDF抽出メモ=4組 [4組] || pack_quantity_fill_report:PDF抽出メモ=4組 [4組]","複数候補あり: 3組 / 4組"
"141-325A","箱蝶極小U・G14.5×7(100組入)","100組","","no_catalog_evidence","","",""
"141-325B","箱蝶極小U・G14.5×7(300組入)","300組","","no_catalog_evidence","","",""
"141-325S","箱蝶極小U・G14.5×7(50組入)","50組","","no_catalog_evidence","","",""
"141-326","箱蝶極小U・W 14.5×7","4組","ambiguous: 4組 / 3組 / 2組","ambiguous","カタログP.86,87,96,97","PDF抽出メモ:品番直近=4組 [No.141-326 箱蝶 CP 材 極小 G 14.5×7 穴径1.2mm 4組] || PDF抽出メモ:品番直近=3組 [41-669 || 3組 2組 1セット 240N6440 No.141-325 箱蝶極小 G 14.5×7] || PDF抽出メモ:品番直近=2組 [41-669 || 3組 2組 1セット 240N6440 No.141-325 箱蝶極小 G 14.5×7] || 既存入数抽出メモ:PDF抽出メモ=4組 [4組] || pack_quantity_fill_report:PDF抽出メモ=4組 [4組]","複数候補あり: 4組 / 3組 / 2組"
"141-326A","箱蝶極小U・W14.5×7(100組入)","100組","","no_catalog_evidence","","",""
"141-326B","箱蝶極小U・W14.5×7(300組入)","300組","","no_catalog_evidence","","",""
"141-326S","箱蝶極小U・W14.5×7(50組入)","50組","","no_catalog_evidence","","",""
"141-327","箱蝶シリコン丸 9丸","3組","ambiguous: 3組 / 8.5 箱","ambiguous","カタログP.82,83,96,97","PDF抽出メモ:品番直近=3組 [o.141-639 箱蝶 シリコン 極小 15×8 穴径1.2mm 3組 芯台の面が大きく、シリ コン一体型] || PDF抽出メモ:品番直近=8.5 箱 [No.141-327 17 × 8.5 箱蝶 シリコン 丸 9 φ1.2 パットセット] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]","複数候補あり: 3組 / 8.5 箱"
"141-328","シリコンワンタッチ丸9丸","3組","3組","ok","カタログP.84,85","既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-329","箱蝶シリコン極小 15×8","3組","ambiguous: 3組 / 2組","ambiguous","カタログP.82,83,96,97","PDF抽出メモ:品番直近=3組 [No.141-329 3組] || PDF抽出メモ:品番直近=2組 [No.141-329 箱蝶シリコン極小 15×8 3組 2組] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]","複数候補あり: 3組 / 2組"
"141-330","箱蝶シリコン小 17×8","3組","3組","ok","カタログP.82,83,96,97","PDF抽出メモ:品番直近=3組 [箱蝶 シリコン 小 17×8 穴径1.2mm 3組 No.141-329 3組] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-331","箱蝶シリコン大 18×9","3組","3組","ok","カタログP.82,83","PDF抽出メモ:品番直近=3組 [No.141-331 箱蝶 シリコン 大 18×9 穴径1.0mm 3組 3組 エアーシリコンパット パット内のエアクッションにより、 掛け心地が更に良くなります。 3組 各種1袋 3組] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-332","花型底付ナットG 1.4×2.6×2.0","14ヶ","ambiguous: 14ヶ / 20ヶ","ambiguous","カタログP.125","PDF抽出メモ:品番直近=14ヶ [No.141-332 花型底付 G ツーポイント 1.4 2.6 2.0 14ヶ ー A B] || PDF抽出メモ:品番直近=20ヶ [20ヶ ー ー ー ー] || 既存入数抽出メモ:PDF抽出メモ=14ヶ [14ヶ] || pack_quantity_fill_report:PDF抽出メモ=14ヶ [14ヶ]","複数候補あり: 14ヶ / 20ヶ"
"141-332A","花型底付ナットG(100個入)","100個","","no_catalog_evidence","","",""
"141-332B","花型底付ナットG(300個入)","300個","","no_catalog_evidence","","",""
"141-333","花型底付ナットW 1.4×2.6×2.0","17ヶ","ambiguous: 17ヶ / 14ヶ","ambiguous","カタログP.125","PDF抽出メモ:品番直近=17ヶ [No.141-333 花型底付 W ツーポイント 1.4 2.6 2.0 17ヶ ー A B] || PDF抽出メモ:品番直近=14ヶ [14ヶ ー A B ー ー] || 既存入数抽出メモ:PDF抽出メモ=17ヶ [17ヶ] || pack_quantity_fill_report:PDF抽出メモ=17ヶ [17ヶ]","複数候補あり: 17ヶ / 14ヶ"
"141-333A","花形底付ナットW(100個入)","100個","","no_catalog_evidence","","",""
"141-333B","花形底付ナットW(300個入)","300個","","no_catalog_evidence","","",""
"141-334","ポリカワッシャ斜めカット 3.0×0.5~1.0×1.45","30ヶ","30ヶ","ok","カタログP.127","既存入数抽出メモ:PDF抽出メモ=30ヶ [30ヶ] || pack_quantity_fill_report:PDF抽出メモ=30ヶ [30ヶ]",""
"141-335","箱蝶シリコンG極小U13×7","2組","2組","ok","カタログP.82,83,96,97","既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-335A","箱蝶シリコンG極小U(100組入)","100組","","no_catalog_evidence","","",""
"141-335B","箱蝶シリコンG極小U(300組入)","300組","","no_catalog_evidence","","",""
"141-335S","箱蝶シリコンG極小U(50組入)","50組","","no_catalog_evidence","","",""
"141-336","箱蝶シリコンW極小U13×7","2組","2組","ok","カタログP.82,83,96,97","PDF抽出メモ:品番直近=2組 [コン G 極小 14.5×7 穴径1.2mm 2組 || ー ー ー ー ー ー 極小 No.141-335] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-336A","箱蝶シリコンW極小U(100組入)","100組","","no_catalog_evidence","","",""
"141-336B","箱蝶シリコンW極小U(300組入)","300組","","no_catalog_evidence","","",""
"141-336S","箱蝶シリコンW極小U(50組入)","50組","","no_catalog_evidence","","",""
"141-350-BE","モダンCP丸芯1.2×65 ベージュ","","","no_catalog_evidence","","",""
"141-350-BK","モダンCP丸芯1.2×65 ブラック","","","no_catalog_evidence","","",""
"141-350-BR","モダンCP丸芯1.2×65 ブラウン","","","no_catalog_evidence","","",""
"141-350-CBR","モダンCP丸芯1.2×65 クリアブラウン","","","no_catalog_evidence","","",""
"141-350-CL","モダンCP丸芯1.2×65 クリアー","","","no_catalog_evidence","","",""
"141-350-DB","モダンCP丸芯1.2×65 ダークブルー","","","no_catalog_evidence","","",""
"141-350-DM","モダンCP丸芯1.2×65 デミアンバー","","","no_catalog_evidence","","",""
"141-350-PP","モダンCP丸芯1.2×65 ピンクパール","","","no_catalog_evidence","","",""
"141-350-WN","モダンCP丸芯1.2×65 ワイン","","","no_catalog_evidence","","",""
"141-350-YE","モダンCP丸芯1.2×65 ランコー","","","no_catalog_evidence","","",""
"141-351-BE","モダンCP丸芯1.5×65 ベージュ","","","no_catalog_evidence","","",""
"141-351-BK","モダンCP丸芯1.5×65 ブラック","","","no_catalog_evidence","","",""
"141-351-BR","モダンCP丸芯1.5×65 ブラウン","","","no_catalog_evidence","","",""
"141-351-CBR","モダンCP丸芯1.5×65 クリアブラウン","","","no_catalog_evidence","","",""
"141-351-CL","モダンCP丸芯1.5×65 クリアー","","","no_catalog_evidence","","",""
"141-351-DM","モダンCP丸芯1.5×65 デミアンバー","","","no_catalog_evidence","","",""
"141-351-WN","モダンCP丸芯1.5×65 ワイン","","","no_catalog_evidence","","",""
"141-351-YE","モダンCP丸芯1.5×65 ランコー","","","no_catalog_evidence","","",""
"141-352","箱蝶クッション極小 11.6×7","2組","ambiguous: 300組 / 1000組 / 2組","ambiguous","カタログP.90,91","PDF抽出メモ:品番直近=300組 [300組 ● C 超お徳用1000組 ● R 販売用 ー 該当なし ● Parts 各種1袋 箱蝶（ネジ式）] || PDF抽出メモ:品番直近=1000組 [300組 ● C 超お徳用1000組 ● R 販売用 ー 該当なし ● Parts 各種1袋 箱蝶（ネジ式）] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]","複数候補あり: 300組 / 1000組 / 2組"
"141-353","箱蝶クッション小 14.6×8","2組","ambiguous: 2組 / 1000組","ambiguous","カタログP.90,91","PDF抽出メモ:品番直近=2組 [No.141-353 箱蝶 エチレン系 極小 11.6×7 穴径1.1mm 箱蝶 エチレン系 小 14.6×8 穴径1.1mm 2組 2組] || PDF抽出メモ:品番直近=1000組 [徳用1000組 ● R 販売用 ー 該当なし ● Parts 各種1袋 箱蝶（ネジ式） No.141-352] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]","複数候補あり: 2組 / 1000組"
"141-354","箱蝶クッション大 17×8","2組","2組","ok","カタログP.90,91","PDF抽出メモ:品番直近=2組 [No.141-354 箱蝶 エチレン系 大 17×8 穴径1.1mm 2組] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-355","ワンタッチクッション極小 11.6×7","2組","2組","ok","カタログP.94,95","既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-356","ワンタッチクッション小 14.6×8","2組","ambiguous: 1組 / 2組 / 3組","ambiguous","カタログP.94,95","PDF抽出メモ:品番直近=1組 [No.141-356 1組] || PDF抽出メモ:品番直近=2組 [2組 ワンタッチ チタン 13.7×6.3 240N368 3組] || PDF抽出メモ:品番直近=3組 [2組 ワンタッチ チタン 13.7×6.3 240N368 3組] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]","複数候補あり: 1組 / 2組 / 3組"
"141-357","ワンタッチクッション大 17×8","2組","ambiguous: 3組 / 1組 / 2組","ambiguous","カタログP.94,95","PDF抽出メモ:品番直近=3組 [13.7×6.3 240N368 3組 No.141-356 1組] || PDF抽出メモ:品番直近=1組 [13.7×6.3 240N368 3組 No.141-356 1組] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]","複数候補あり: 3組 / 1組 / 2組"
"141-359","箱蝶ソフト薄型 11.5×8×1.2","5組","ambiguous: 1組 / 5組","ambiguous","カタログP.90,91","PDF抽出メモ:品番直近=1組 [により箱蝶の向きが変わっ てしまった時にオススメです。 1組 各種1袋 240N450 No.141-650] || 既存入数抽出メモ:PDF抽出メモ=5組 [5組] || pack_quantity_fill_report:PDF抽出メモ=5組 [5組]","複数候補あり: 1組 / 5組"
"141-362","箱蝶薄型 10×8","7組","ambiguous: 2組 / 7組","ambiguous","カタログP.90,91","PDF抽出メモ:品番直近=2組 [1.3mm 調整で頂点間距離が出しにくい 場合や、鼻が低い・小さな子供に もオススメです。 2組 薄型パット] || 既存入数抽出メモ:PDF抽出メモ=7組 [7組] || pack_quantity_fill_report:PDF抽出メモ=7組 [7組]","複数候補あり: 2組 / 7組"
"141-364","箱蝶薄型 14×9","7組","ambiguous: 1組 / 4組 / 7組","ambiguous","カタログP.90,91","PDF抽出メモ:品番直近=1組 [1組 No.141-706 箱蝶 PVC 材 14.5×7 穴径1.2mm 4組] || PDF抽出メモ:品番直近=4組 [1組 No.141-706 箱蝶 PVC 材 14.5×7 穴径1.2mm 4組] || 既存入数抽出メモ:PDF抽出メモ=7組 [7組] || pack_quantity_fill_report:PDF抽出メモ=7組 [7組]","複数候補あり: 1組 / 4組 / 7組"
"141-365","箱蝶極小U・G 10×6","3組","3組","ok","カタログP.86,87","既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-366","箱蝶極小U・W 10×6","3組","3組","ok","カタログP.86,87","既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-367","箱蝶極小G 14×7","3組","3組","ok","カタログP.86,87","既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-368","箱蝶極小W 14×7","3組","3組","ok","カタログP.86,87","PDF抽出メモ:品番直近=3組 [（長さ×最大巾）単位㎜ 薄型パット （長さ×最大巾×厚み）単位㎜ 3組 No.141-367 3組] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-369","箱蝶シリコン極小G 14.5×7","2組","2組","ok","カタログP.82,83","PDF抽出メモ:品番直近=2組 [14.5×7 穴径1.2mm No.141-776 箱蝶 シリコン W 小 17×8 穴径1.2mm 2組] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-369A","箱蝶シリコンG極小14.5×7 (100組入)","100組","","no_catalog_evidence","","",""
"141-369B","箱蝶シリコンG極小14.5×7 (300組入)","300組","","no_catalog_evidence","","",""
"141-369S","箱蝶シリコンG極小14.5×7 (50組入)","50組","","no_catalog_evidence","","",""
"141-370","箱蝶シリコン極小W 14.5×7","2組","2組","ok","カタログP.82,83","PDF抽出メモ:品番直近=2組 [2組 箱蝶 シリコン G 小 17×8 穴径1.2mm 2組 抗菌パット] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-370A","箱蝶シリコンW極小14.5×7 (100組入)","100組","","no_catalog_evidence","","",""
"141-370B","箱蝶シリコンW極小14.5×7 (300組入)","300組","","no_catalog_evidence","","",""
"141-370S","箱蝶シリコンW極小14.5×7 (50組入)","50組","","no_catalog_evidence","","",""
"141-371-B","モダンCP丸芯1.5×70 ブルー","","","no_catalog_evidence","","",""
"141-371-BK","モダンCP丸芯1.5×70 ブラック","","","no_catalog_evidence","","",""
"141-371-CBR","モダンCP丸芯1.5×70 クリアブラウン","","","no_catalog_evidence","","",""
"141-371-DBR","モダンCP丸芯1.5×70 ブラウン( ダークブラウン)","","","no_catalog_evidence","","",""
"141-371-DM","モダンCP丸芯1.5×70 デミアンバー","","","no_catalog_evidence","","",""
"141-371-GL","モダンCP丸芯1.5×70 グレー","","","no_catalog_evidence","","",""
"141-372-BK","ロングモダンCP丸芯ブラック","","","no_catalog_evidence","","",""
"141-372-BR","ロングモダンCP丸芯ブラウン","","","no_catalog_evidence","","",""
"141-372-CL","ロングモダンCP丸芯クリア","","","no_catalog_evidence","","",""
"141-372-DM","ロングモダンCP丸芯デミアンバー","","","no_catalog_evidence","","",""
"141-373-BR","シートモダン丸芯 アセテート 1.3×68 ブラウン","","","no_catalog_evidence","","",""
"141-373-P","シートモダン丸芯 アセテート 1.3×68 ピンク","","","no_catalog_evidence","","",""
"141-373-WN","シートモダン丸芯 アセテート 1.3×68 ワイン","","","no_catalog_evidence","","",""
"141-420","シリコンワンタッチ 極小 15.8×8","3組","ambiguous: 3組 / 2本 / 1組","ambiguous","カタログP.84,85,96,97","PDF抽出メモ:品番直近=3組 [パット 3組 ワンタッチ （差し込み式） No.141-310 3組 || ー ー ー ー ー ー ー プラ] || PDF抽出メモ:品番直近=2本 [状 素材 カラー 素材 特徴 || No.141-743 2本ダキ足 シリコン W 14.5×7 1組 1組] || PDF抽出メモ:品番直近=1組 [状 素材 カラー 素材 特徴 || No.141-743 2本ダキ足 シリコン W 14.5×7 1組 1組] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]","複数候補あり: 3組 / 2本 / 1組"
"141-420A","シリコンワンタッチ 極小(100組入)","100組","","no_catalog_evidence","","",""
"141-420B","シリコンワンタッチ 極小(300組入)","300組","","no_catalog_evidence","","",""
"141-420S","シリコンワンタッチ 極小(50組入)","50組","","no_catalog_evidence","","",""
"141-421","シリコンワンタッチ 極小 13×7","3組","ambiguous: 1組 / 2本 / 2組 / 3組","ambiguous","カタログP.84,85,96,97","PDF抽出メモ:品番直近=1組 [1組 裏形状 ワンタッチ（差し込み式） POP ラッピング] || PDF抽出メモ:品番直近=2本 [5×8 || 2.7 ㎜ 【取付け部分寸法】 2本ダキ足 パット 蝶芯 蝶芯 形状 素材 カラー 素材 特徴] || PDF抽出メモ:品番直近=2組 [大 パット 蝶芯 蝶芯 形状 || ・溝セル 関 連 No.141-637 2組 1セット 240N6570] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]","複数候補あり: 1組 / 2本 / 2組 / 3組"
"141-421A","シリコンワンタッチ 極小(100組入)","100組","","no_catalog_evidence","","",""
"141-421B","シリコンワンタッチ 極小(300組入)","300組","","no_catalog_evidence","","",""
"141-421S","シリコンワンタッチ 極小(50組入)","50組","","no_catalog_evidence","","",""
"141-422","箱蝶シリコン 極小 13×7","3組","3組","ok","カタログP.82,83,96,97","PDF抽出メモ:品番直近=3組 [41-638 箱蝶 シリコン 極小 15×8 穴径1.2mm 3組 箱蝶 シリコン 丸 9丸 穴径1.0mm] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-423","シリコンツインパット15×9","2ヶ","ambiguous: 3組 / 1組 / 2ケ / 2ヶ","ambiguous","カタログP.82,83","PDF抽出メモ:品番直近=3組 [No.141-503 箱蝶 シリコン 極小 14.5×7.5 穴径1.2mm 3組 3組] || PDF抽出メモ:品番直近=1組 [3組 1組 2ケ || 7 8 8 9 7.5 8.5 パット 蝶芯 蝶芯 形状 素材 カラー 素材 特徴] || PDF抽出メモ:品番直近=2ケ [3組 1組 2ケ || 7 8 8 9 7.5 8.5 パット 蝶芯 蝶芯 形状 素材 カラー 素材 特徴] || 既存入数抽出メモ:PDF抽出メモ=2ヶ [2ヶ] || pack_quantity_fill_report:PDF抽出メモ=2ヶ [2ヶ]","複数候補あり: 3組 / 1組 / 2ケ / 2ヶ"
"141-425","鼻盛パット 15×7","2組","2組","ok","カタログP.102,103,306","PDF抽出メモ:品番直近=2組 [No.141-425 小 15 7 3〜3 2組 N...] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-426","鼻盛パット 15×7","2組","2組","ok","カタログP.102,103,306","PDF抽出メモ:品番直近=2組 [No.141-426 小 15 7 2.5〜1 2組] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-427","鼻盛パット 19×7","2組","2組","ok","カタログP.104,105,307","PDF抽出メモ:品番直近=2組 [No.141-427 中 19 7 5 2組] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-428","鼻盛パット 15×7","2組","2組","ok","カタログP.104,105,307","既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-474","シリコンツインパットG小 13×7","1ヶ","ambiguous: 3組 / 1組 / 2ケ / 1ヶ","ambiguous","カタログP.82,83,96,97","PDF抽出メモ:品番直近=3組 [240N368 3組 1組 2ケ No.141-475] || PDF抽出メモ:品番直近=1組 [240N368 3組 1組 2ケ No.141-475] || PDF抽出メモ:品番直近=2ケ [240N368 3組 1組 2ケ No.141-475] || 既存入数抽出メモ:PDF抽出メモ=1ヶ [1ヶ] || pack_quantity_fill_report:PDF抽出メモ=1ヶ [1ヶ]","複数候補あり: 3組 / 1組 / 2ケ / 1ヶ"
"141-475","シリコンツインパットW小 13×7","1ヶ","ambiguous: 1組 / 3組 / 2ケ / 1ヶ","ambiguous","カタログP.82,83,96,97","PDF抽出メモ:品番直近=1組 [1組 240N368 3組 1組 2ケ] || PDF抽出メモ:品番直近=3組 [1組 240N368 3組 1組 2ケ] || PDF抽出メモ:品番直近=2ケ [1組 240N368 3組 1組 2ケ] || 既存入数抽出メモ:PDF抽出メモ=1ヶ [1ヶ] || pack_quantity_fill_report:PDF抽出メモ=1ヶ [1ヶ]","複数候補あり: 1組 / 3組 / 2ケ / 1ヶ"
"141-480","箱蝶シリコンG極小U 14.5×7","2組","2組","ok","カタログP.82,83,96,97","既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-480A","箱蝶シリコンG極小U14.5×7(100組入)","100組","","no_catalog_evidence","","",""
"141-480B","箱蝶シリコンG極小U14.5×7(300組入)","300組","","no_catalog_evidence","","",""
"141-480S","箱蝶シリコンG極小U14.5×7(50組入)","50組","","no_catalog_evidence","","",""
"141-481","箱蝶シリコンW極小U 14.5×7","2組","2組","ok","カタログP.82,83,96,97","PDF抽出メモ:品番直近=2組 [DX1組 DX1組 2組 2組 2組] || 既存入数抽出メモ:PDF抽出メモ=2組 [2組] || pack_quantity_fill_report:PDF抽出メモ=2組 [2組]",""
"141-481A","箱蝶シリコンW極小U14.5×7(100組入)","100組","","no_catalog_evidence","","",""
"141-481B","箱蝶シリコンW極小U14.5×7(300組入)","300組","","no_catalog_evidence","","",""
"141-481S","箱蝶シリコンW極小U14.5×7(50組入)","50組","","no_catalog_evidence","","",""
"141-488","シリコン極小 13×7.5ネジ,ワンタッチ兼用","3組","ambiguous: 2ケ / 3組","ambiguous","カタログP.84,85","PDF抽出メモ:品番直近=2ケ [大 19×9.5 2ケ 裏形状 3組 3組] || PDF抽出メモ:品番直近=3組 [大 19×9.5 2ケ 裏形状 3組 3組] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]","複数候補あり: 2ケ / 3組"
"141-489","シリコン極小 15×8 ネジ,ワンタッチ兼用","3組","ambiguous: 2ケ / 3組","ambiguous","カタログP.84,85","PDF抽出メモ:品番直近=2ケ [2ケ 裏形状 3組 3組 No.141-488] || PDF抽出メモ:品番直近=3組 [2ケ 裏形状 3組 3組 No.141-488] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]","複数候補あり: 2ケ / 3組"
"141-490","シリコン小 17×9.5 ネジ,ワンタッチ兼用","3組","3組","ok","カタログP.84,85","PDF抽出メモ:品番直近=3組 [3組 ビルトインタイプ 対応金具 K14W・ K18部品 ワンタッチピン] || 既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
"141-493","箱蝶コーンG 17.5×7.5","3組","3組","ok","カタログP.88,89","既存入数抽出メモ:PDF抽出メモ=3組 [3組] || pack_quantity_fill_report:PDF抽出メモ=3組 [3組]",""
