品番,商品名,HPから確認した情報,カタログから確認した情報,日本語の一言要約,英語の一言要約,中国語の一言要約,韓国語の一言要約,確認元URLまたはカタログ掲載ページ
141-582S,箱蝶中G17.5×9(50組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 50組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-583,箱蝶中W 17.5×9,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.10,11 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 4組 / mm エッシェン バッハ 3組 ハードパット No.141-582 No.141-583 箱蝶 CP 材 中 G 17.5×9 穴径1.2mm 4組 4組 亀甲色 / mm / 17×9 穴径1.2mm エッシェン バッハ 3組 ハードパット No.141-582 No.141-583 箱蝶 CP 材 中 G 17.5×9 穴径1.2mm 4組 4組 亀甲色 No.83-94 4組 No.83-103 箱蝶 CP 材 大 W 19×9 穴径1.2mm || No.141-326 No.141-323 No.141-324 No.141-367 No.141-368 No.141-580 No.83-92 No.141-582 No.141-583 No.83-93 No.83-94 No.83-103 No.83-104 No.83-105 No.83-106 No.141-669 No.141-747 No.141-748 蝶芯 蝶芯 カラー 素材 G W G W",鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,"カタログP.10,11 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
141-583A,箱蝶中W17.5×9(100組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 100組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-583B,箱蝶中W17.5×9(300組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 300組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-583S,箱蝶中W17.5×9(50組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 50組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-584,箱蝶小G 16×8.6,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.10,11 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 3組 / mm ツーポイント 部 品 No.141-585 箱蝶 ポリエステル材 小 W 16×8.6 穴径1.2mm 3組 No.141-586 箱蝶 ポリエステル材 中 / mm / 金属 No.141-585 小 中 中 大 大 16 16 17.5 17.5 18.5 18.5 / ネ ジ K14W・ K18部品 ワンタッチピン パット素材：ポリエステル No.141-584 箱蝶 ポリエステル材 小 G 16×8.6 穴径1.2mm ツーポイント 部 品 No.141-585 箱蝶 ポリエステル材 小 W 16×8.6 穴径1.2mm 3組 No.141-586 箱蝶 ポリエステル材 中 G 17.5×8.8 穴径1.2mm || ポリエステル W No.141-587 G No.141-588 W No.141-589 小 No.141-584 金属 No.141-585 小 中 中 大 大 16 16 17.5 17.5 18.5 18.5",鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,"カタログP.10,11 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
141-584A,箱蝶小G16×8.6(100組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 100組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-584B,箱蝶小G16×8.6(300組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 300組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-584S,箱蝶小G16×8.6(50組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 50組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-585,箱蝶小W 16×8.6,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.10,11 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 3組 / mm ツーポイント 部 品 No.141-585 箱蝶 ポリエステル材 小 W 16×8.6 穴径1.2mm 3組 No.141-586 箱蝶 ポリエステル材 中 / mm 3組 3組 丁 番・ 座金関連 パット足 関 / 金属 No.141-585 小 中 中 大 大 16 16 17.5 17.5 18.5 18.5 8.6 8.6 8.8 / No.141-584 箱蝶 ポリエステル材 小 G 16×8.6 穴径1.2mm ツーポイント 部 品 No.141-585 箱蝶 ポリエステル材 小 W 16×8.6 穴径1.2mm 3組 No.141-586 箱蝶 ポリエステル材 中 G 17.5×8.8 穴径1.2mm 3組 3組 丁 番・ 座金関連 パット足 関 || No.141-588 W No.141-589 小 No.141-584 金属 No.141-585 小 中 中 大 大 16 16 17.5 17.5 18.5 18.5 8.6 8.6 8.8",鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,"カタログP.10,11 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
141-585A,箱蝶小W16×8.6(100組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 100組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-585B,箱蝶小W16×8.6(300組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 300組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-585S,箱蝶小W16×8.6(50組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 50組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-586,箱蝶中G 17.5×8.8,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.10,11 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 3組 / mm 3組 No.141-586 箱蝶 ポリエステル材 中 G 17.5×8.8 穴径1.2mm 3組 3組 丁 番・ 座金関連 パット足 関 連 バネ丁番 関 連 / 金属 No.141-585 小 中 / 部 品 No.141-585 箱蝶 ポリエステル材 小 W 16×8.6 穴径1.2mm 3組 No.141-586 箱蝶 ポリエステル材 中 G 17.5×8.8 穴径1.2mm 3組 3組 丁 番・ 座金関連 パット足 関 連 バネ丁番 関 連 ケース ナイロール ・溝セル || パット 素材 蝶芯 蝶芯 カラー 素材 G W G No.141-586 ポリエステル W No.141-587 G No.141-588 W No.141-589 小 No.141-584 金属 No.141-585 小 中",鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,"カタログP.10,11 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
141-586A,箱蝶中G17.5×8.8(100組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 100組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-586B,箱蝶中G17.5×8.8(300組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 300組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-586S,箱蝶中G17.5×8.8(50組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 50組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-587,箱蝶中W 17.5×8.8,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.10,11 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 3組 / PVC 材 小 17×8.5 穴径1.2mm 4組 4組 No.141-587 箱蝶 ポリエステル材 中 W 17.5×8.8 穴径1.2mm 3組 No.141-5 / mm 3組 No.141-589 箱蝶 ポリエステル材 大 W 18.5×9.3 穴径1.2mm 3組 / 金属 No.141-585 小 中 中 大 / 4組 箱蝶 PVC 材 小 17×8.5 穴径1.2mm 4組 4組 No.141-587 箱蝶 ポリエステル材 中 W 17.5×8.8 穴径1.2mm 3組 No.141-588 箱蝶 ポリエステル材 大 G 18.5×9.3 穴径1.2mm 3組 No.141-589 箱蝶 ポリエステル材 大 W 18.5×9.3 穴径1.2mm 3組 || 蝶芯 蝶芯 カラー 素材 G W G No.141-586 ポリエステル W No.141-587 G No.141-588 W No.141-589 小 No.141-584 金属 No.141-585 小 中 中 大",鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,"カタログP.10,11 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
141-587A,箱蝶中W17.5×8.8(100組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 100組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-587B,箱蝶中W17.5×8.8(300組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 300組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-587S,箱蝶中W17.5×8.8(50組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 50組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-588,箱蝶大G 18.5×9.3,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.10,11 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 3組 / mm 3組 No.141-588 箱蝶 ポリエステル材 大 G 18.5×9.3 穴径1.2mm 3組 No.141-589 箱蝶 ポリエステル材 大 W 18.5 / mm 3組 パーツ S A B C の価格は P1 〜 P5 のサービスパック一覧をご参照下さい / 金属 No.141-585 小 中 中 大 大 / 4組 No.141-587 箱蝶 ポリエステル材 中 W 17.5×8.8 穴径1.2mm 3組 No.141-588 箱蝶 ポリエステル材 大 G 18.5×9.3 穴径1.2mm 3組 No.141-589 箱蝶 ポリエステル材 大 W 18.5×9.3 穴径1.2mm 3組 パーツ S A B C の価格は P1 〜 P5 のサービスパック一覧をご参照下さい。 ・該当する●●●● カスタマイズ || カラー 素材 G W G No.141-586 ポリエステル W No.141-587 G No.141-588 W No.141-589 小 No.141-584 金属 No.141-585 小 中 中 大 大",鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,"カタログP.10,11 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
141-588A,箱蝶大G18.5×9.3(100組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 100組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-588B,箱蝶大G18.5×9.3(300組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 300組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-588S,箱蝶大G18.5×9.3(50組入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 50組,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
141-589,箱蝶大W 18.5×9.3,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.10,11 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 3組 No.141-588 箱蝶 ポリエステル材 大 G 18.5×9.3 穴径1.2mm 3組 No.141-589 箱蝶 ポリエステル材 大 W 18.5×9.3 穴径1.2mm 3組 パーツ S A B C の価格は P1 〜 P5 のサービスパック一覧をご参照下さい。 ・該当する●●●● カスタマイズ R ( 販売用 ) は P84 〜 P89 の●... / 入数: 3組 / mm 3組 No.141-589 箱蝶 ポリエステル材 大 W 18.5×9.3 穴径1.2mm 3組 パーツ S A B C の価格は P1 〜 P5 のサービス / 金属 No.141-585 小 中 中 大 大 16 16 / 3組 No.141-588 箱蝶 ポリエステル材 大 G 18.5×9.3 穴径1.2mm 3組 No.141-589 箱蝶 ポリエステル材 大 W 18.5×9.3 穴径1.2mm 3組 パーツ S A B C の価格は P1 〜 P5 のサービスパック一覧をご参照下さい。 ・該当する●●●● カスタマイズ R ( 販売用 ) は P84 〜 P89 の● R シリーズ一覧をご参照下さい。 ・該当する● S お手軽用50組 ● A お徳用100組 ● || G W G No.141-586 ポリエステル W No.141-587 G…",鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,"カタログP.10,11 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
